sq_mt_built,n_bathrooms,n_rooms,rent_price,n_bathrooms,sq_mt_built,buy_price_by_area,has_garden,has_pool,neighborhood,has_pool,buy_price
136.0,1.0,3,690,1.0,136.0,1000,0,0,134,0,135990
96.0,2.0,2,948,2.0,96.0,2188,0,1,132,1,210000
71.0,2.0,2,910,2.0,71.0,2789,0,1,133,1,198000
74.0,1.0,2,705,1.0,74.0,1891,0,0,133,0,139900
65.0,1.0,2,583,1.0,65.0,1692,0,0,135,0,110000
93.0,1.0,3,780,1.0,93.0,1720,0,0,132,0,160000
75.0,1.0,3,553,1.0,75.0,1373,0,0,134,0,103000
63.0,1.0,3,539,1.0,63.0,1587,0,0,133,0,100000
65.0,1.0,3,494,1.0,65.0,1385,0,0,134,0,90000
63.0,1.0,2,458,1.0,63.0,1306,0,0,135,0,82260
72.0,1.0,3,703,1.0,72.0,1936,0,0,132,0,139400
100.0,2.0,2,762,2.0,100.0,1549,0,0,134,0,154900
90.0,2.0,3,762,2.0,90.0,1722,0,0,134,0,155000
66.0,1.0,3,485,1.0,66.0,1333,0,0,135,0,88000
102.0,2.0,3,994,2.0,102.0,2206,0,0,132,0,225000
105.0,1.0,2,881,1.0,105.0,1800,0,0,133,0,189000
95.0,1.0,4,698,1.0,95.0,1453,0,0,133,0,138000
120.0,1.0,3,901,1.0,120.0,1625,0,0,132,0,195000
90.0,2.0,3,985,2.0,90.0,2467,0,1,131,1,222000
64.0,1.0,3,449,1.0,64.0,1258,0,0,133,0,80500
80.0,1.0,3,857,1.0,80.0,2275,0,0,132,0,182000
120.0,2.0,3,1187,2.0,120.0,2458,0,0,134,0,295000
82.0,2.0,2,1122,2.0,82.0,3293,0,1,132,1,270000
81.0,1.0,3,609,1.0,81.0,1433,0,0,131,0,116100
103.0,2.0,3,1067,2.0,103.0,2427,0,1,133,1,250000
63.0,1.0,3,446,1.0,63.0,1268,0,0,132,0,79900
70.0,1.0,3,535,1.0,70.0,1414,0,0,135,0,99000
60.0,1.0,3,420,1.0,60.0,1242,0,0,135,0,74550
45.0,1.0,2,561,1.0,45.0,2333,0,0,133,0,105000
95.0,1.0,3,666,1.0,95.0,1368,0,0,133,0,130000
70.0,1.0,3,625,1.0,70.0,1714,0,0,133,0,120000
71.0,1.0,3,740,1.0,71.0,2099,0,0,133,0,149000
70.0,1.0,3,686,1.0,70.0,1929,0,0,133,0,135000
98.0,2.0,4,1009,2.0,98.0,2347,0,0,133,0,230000
55.0,1.0,3,499,1.0,55.0,1655,0,0,132,0,91000
115.0,1.0,4,867,1.0,115.0,1608,0,0,133,0,184900
78.0,1.0,3,654,1.0,78.0,1628,0,0,134,0,127000
68.0,1.0,3,465,1.0,68.0,1234,0,0,135,0,83900
120.0,1.0,3,851,1.0,120.0,1500,0,1,134,1,180000
64.0,1.0,3,428,1.0,64.0,1188,0,0,135,0,76000
92.0,1.0,4,791,1.0,92.0,1772,0,0,132,0,163000
154.0,2.0,3,1148,2.0,154.0,1818,0,1,131,1,280000
105.0,2.0,3,851,2.0,105.0,1714,0,0,133,0,180000
70.0,1.0,2,658,1.0,70.0,1829,0,0,134,0,128000
93.0,1.0,3,803,1.0,93.0,1787,0,0,132,0,166200
53.0,1.0,3,601,1.0,53.0,2157,0,0,133,0,114300
86.0,1.0,3,662,1.0,86.0,1500,0,0,134,0,129000
75.0,2.0,3,674,2.0,75.0,1760,0,0,132,0,132000
